Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__xnor2_2,_41661_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41662_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41663_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41664_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41665_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41666_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41667_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41668_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41669_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41670_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41671_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41672_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41673_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41674_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41675_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41676_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41677_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41678_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41679_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41680_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41681_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41682_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41683_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41684_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41685_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41686_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41687_,ldpc_decoder_802_3an
sky130_fd_sc_hd__nand2_2,_41688_,ldpc_decoder_802_3an
sky130_fd_sc_hd__a2bb2o_2,_41689_,ldpc_decoder_802_3an
sky130_fd_sc_hd__o22a_2,_41690_,ldpc_decoder_802_3an
sky130_fd_sc_hd__nand2_2,_41691_,ldpc_decoder_802_3an
sky130_fd_sc_hd__o21a_2,_41692_,ldpc_decoder_802_3an
sky130_fd_sc_hd__or2_2,_41693_,ldpc_decoder_802_3an
sky130_fd_sc_hd__a31o_2,_41694_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41695_,ldpc_decoder_802_3an
sky130_fd_sc_hd__mux2_1,_41696_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41697_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41698_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41699_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41700_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41701_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41702_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41703_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41704_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41705_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41706_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41707_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41708_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41709_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41710_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41711_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41712_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41713_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41714_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41715_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41716_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41717_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41718_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41719_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41720_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41721_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41722_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41723_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41724_,ldpc_decoder_802_3an
