Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__a31o_2,_2234_,RGB2YCBCR
sky130_fd_sc_hd__a311o_2,_2235_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2236_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2237_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2238_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2239_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2240_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2241_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2242_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2243_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2244_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2245_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2246_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2247_,RGB2YCBCR
sky130_fd_sc_hd__o22ai_2,_2248_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2249_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2250_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2251_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2252_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2253_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2254_,RGB2YCBCR
sky130_fd_sc_hd__a22oi_2,_2255_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2256_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2257_,RGB2YCBCR
sky130_fd_sc_hd__o22ai_2,_2258_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2259_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2260_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2261_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2262_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2263_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2264_,RGB2YCBCR
sky130_fd_sc_hd__and4b_2,_2265_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2266_,RGB2YCBCR
sky130_fd_sc_hd__o2bb2a_2,_2267_,RGB2YCBCR
sky130_fd_sc_hd__or4b_2,_2268_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2269_,RGB2YCBCR
sky130_fd_sc_hd__or3_2,_2270_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2271_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2272_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2273_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2274_,RGB2YCBCR
sky130_fd_sc_hd__nand3_2,_2275_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2276_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2277_,RGB2YCBCR
sky130_fd_sc_hd__a21boi_2,_2278_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2279_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2280_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2281_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2282_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2283_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2284_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2285_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2286_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2287_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2288_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2289_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2290_,RGB2YCBCR
