Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__xor2_2,_144336_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144337_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144338_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144339_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144340_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144341_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144342_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144343_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144344_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144345_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144346_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144347_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144348_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144349_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144350_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144351_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144352_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144353_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144354_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144355_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144356_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144357_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144358_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144359_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144360_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144361_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144362_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144363_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144364_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144365_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144366_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144367_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144368_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144369_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144370_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144371_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144372_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144373_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144374_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144375_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144376_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144377_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144378_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144379_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144380_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144381_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144382_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144383_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144384_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144385_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144386_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144387_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144388_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144389_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144390_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144391_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144392_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144393_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144394_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144395_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144396_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144397_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144398_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144399_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144400_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144401_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144402_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144403_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144404_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144405_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144406_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144407_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144408_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144409_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144410_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144411_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144412_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144413_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144414_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144415_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144416_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144417_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144418_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144419_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144420_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144421_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144422_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144423_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144424_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144425_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144426_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144427_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144428_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144429_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144430_,ldpc_encoder_802_3an
